epoch,train_loss,val_loss
1,0.0006564378061058995,0.00030283440801371606
2,0.00032055812126396315,0.0002240120162241007
3,0.0002996205506425862,0.00022150832502965476
4,0.0002886407170229177,0.00021557183032528538
5,0.00028892093419389023,0.00021588442401204613
6,0.00027558307775853445,0.00022104691473057945
7,0.00028644418707256237,0.00021515514097768774
8,0.00030570902570874485,0.00022243442633913043
9,0.00027437933395388977,0.0003001715857607978
10,0.00038894881465729124,0.0003350998727705097
11,0.0002719547346733508,0.000234961528631738
12,0.00026684710950567147,0.00022183515087513187
13,0.0002624277753903497,0.00023729823731080321
14,0.00026465173717058187,0.00021896277154735043
15,0.0002620696957366292,0.00024498587750809925
16,0.0002622134938420675,0.00021021067398606624
17,0.0002538199105932253,0.0002086489399733532
18,0.0002555068099160643,0.000232032467204846
19,0.0002544438913229978,0.00021048073905650597
20,0.0002495363487183692,0.00020195931838064507
21,0.000281901918102844,0.000213711803783969
22,0.00025234165266075254,0.0002085049392425454
23,0.0002651701948323915,0.00023580286191704787
24,0.00025066808311588495,0.00021423581643766014
25,0.0002465470948960588,0.00021441538848330713
26,0.0002457209263715899,0.0003033184808128858
27,0.00025130290007202615,0.00020488537599392575
28,0.000252760772119724,0.00022267486301714084
29,0.0002503222829600352,0.00023357113746516096
30,0.00025654205408835924,0.00021966025858325008
31,0.0002482590166105553,0.00021297689903777825
32,0.00024469724394699064,0.00024654610663415685
33,0.00026885621817022097,0.00020972810730114297
34,0.00025571521521377454,0.00021558505464858236
35,0.0002464050315872129,0.0002341807385151258
36,0.00025031591028365095,0.0002460281039101115
37,0.00024425595126164327,0.0002153963229672927
38,0.0003260589547357706,0.0004915072544350648
39,0.00038154228344930457,0.0002534489801099623
40,0.00026625621875135127,0.0003170614015628475
